,id,title,image_url,price,rating,reviews,category
0,1,바바 체형커버!! 살랑살랑 와이드 밴딩팬츠 냉감소재,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/01f1/0caedb1517530bb4ba666b3b35ef655a1e87c0ab6f6a5c9fd8d12909fc5e.jpg,9800,4.5,21,woman_clothes
1,2,어반룩북 스퀘어넥 반팔 시원 니트,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/78bf/c8ea4ade8569eacdc675c9d4be4f6bcce677b65b0aa3bcc605a3861f4be0.jpg,15120,4.5,4,woman_clothes
2,3,[에이스토리] 여성 시원한 와이드 스모크 밴딩 점프수트,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/3466/6156a8503bfc3baf67385787954b61da9bdc479da6160772868fd5c17b30.png,17500,4.5,60,woman_clothes
3,4,주디앤 여성 로하이 니트 반팔 가디건,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2c41/be5c322f6daa9550392b7b5693eaffaede7c589c9e8a9398726ff25fdf8c.jpg,14500,4.5,164,woman_clothes
4,5,데일로엔 여성용 곰돌이 자수 줄무늬 반팔티셔츠,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/24ba/488e3177a5453136f7e934bd3ea3c87a6a0228ebd87e8d0c42e53835c6c9.jpg,19900,4.5,547,woman_clothes
5,6,세컨그라운드 여성용 트위드 반팔 가디건,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mmnls9c2/0115b8aae8a948b8b3ad1b0abac47c2a.jpg,12550,4.5,295,woman_clothes
6,7,[당일출고] 수엠W 허리밴딩 찰랑찰랑 통바지 S237 소프트와이드팬츠,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4cd1/6b040848fcd316fb22c9cd72593da652df86b063a5937d438a2e45a67cd3.jpg,16900,4.5,46,woman_clothes
7,8,플로렐로 여성 심플 티셔츠 스트라이프 반팔 카라 니트,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/fb4c/d00b2842255640d91b1b44924f2efbc8745ffa185210f183768163cdb376.jpg,11980,4.5,103,woman_clothes
8,9,에헤라디야 여름 반팔 셔츠 원피스,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/065e/4feba0145f542f09aeeb114e873edbe4ff4f289fd5d71c26a430262dd212.png,27500,5.0,7,woman_clothes
9,10,위드후이린 여성용 캉캉 반팔 롱 원피스,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/rs_quotation_api/mpybjgtt/faee775e677b4d52be1543499ad3f321.jpg,18900,4.0,101,woman_clothes
